,title,appeared,type,rank,factCount,lastActivity,exampleCount,bookCount,paperCount,numberOfUsers,numberOfJobs,originCommunity,country,wikipedia.summary,wikipedia.related
71,F#,2005,pl,71,207,2022,18,0,0,4316,0,Microsoft Research,United Kingdom,f pronounced f sharp strongly typed multi-paradigm programming language encompasses functional imperative object-oriented programming methods f often used cross-platform common language infrastructure cli language also generate javascript graphics processing unit gpu code f developed f software foundation microsoft open contributors open source cross-platform compiler f available f software foundation f also fully supported language visual studio xamarin studio tools supporting f development include mono monodevelop sharpdevelop mbrace websharper plug-ins supporting f exist many widely used editors notably ionide extension atom visual studio code integrations editors vim emacs sublime text f member ml language family originated .net framework implementation core programming language ocaml also influenced c python haskell scala erlang,
72,Regular Expressions,1951,queryLanguage,72,45,2022,2,0,0,23343,0,University of Wisconsin-Madison,United States,regular expression regex regexp sometimes called rational expression theoretical computer science formal language theory sequence characters define search pattern usually pattern used string searching algorithms `` find '' `` find replace '' operations strings concept arose 1950s american mathematician stephen cole kleene formalized description regular language concept came common use unix text-processing utilities since 1980s different syntaxes writing regular expressions exist one posix standard another widely used perl syntax regular expressions used search engines search replace dialogs word processors text editors text processing utilities sed awk lexical analysis many programming languages provide regex capabilities built-in via libraries,unix perl sed awk ascii snobol grep vi-editor emacs-editor tcl postgresql unicode perl-6 peg sgml pcre php java python ecmascript linux vim-editor javascript ruby c lisp utf-8 isbn
73,OCaml,1996,pl,73,181,2022,9,11,14,3341,0,Institut national de recherche en sciences et technologies du num¨¦rique,France,ocaml oh-kam- l originally named objective caml main implementation programming language caml created xavier leroy j¨¦r vouillon damien doligez didier r¨¦my asc¨¢nder su¨¢rez others 1996 member ml language family ocaml extends core caml language object-oriented programming constructs ocaml 's toolset includes interactive top-level interpreter bytecode compiler reversible debugger package manager opam optimizing native code compiler large standard library making useful many applications python perl robust modular object-oriented programming constructs make applicable large-scale software engineering ocaml successor caml light acronym caml originally stood categorical abstract machine language although ocaml omits abstract machine ocaml free open-source software project managed principally maintained french institute research computer science automation inria early 2000s many new languages adopted elements ocaml notably f scala,occam c ia-32 sparc arm unix f-sharp caml cool standard-ml ats elm fstar haxe opa rust scala ml python perl java csharp fortran javascript jvm pic-microcontroller emacs-editor vim-editor opengl hack php ios android coq wasm haskell
74,ASP,1996,template,74,156,2022,3,72,7,1865,9630,Microsoft,United States,active server pages asp later known classic asp asp classic microsoft 's first server-side script engine dynamically generated web pages asp.net first released january 2002 superseded asp,vbscript jscript html csharp java-server-pages php
75,Eiffel,1986,pl,75,202,2023,11,10,12,1583,0,Eiffel Software,Various,eiffel object-oriented programming language designed bertrand meyer object-orientation proponent author object-oriented software construction eiffel software meyer conceived language 1985 goal increasing reliability commercial software development first version becoming available 1986 2005 eiffel became iso-standardized language design language closely connected eiffel programming method based set principles including design contract command¨cquery separation uniform-access principle single-choice principle open¨cclosed principle option¨coperand separation many concepts initially introduced eiffel later found way java c languages new language design ideas particularly ecma/iso standardization process continue incorporated eiffel language,freebsd linux solaris ada simula z-notation csharp d java lisaac racket ruby sather scala algol pascal visual-studio-editor isbn smalltalk c cil java-bytecode
76,Crystal,2014,pl,76,237,2022,10,0,0,27065,0,https://forum.crystal-lang.org/,Argentina and Germany and Turkey,computer software programming languages crystal general-purpose object-oriented programming language designed developed ary borenszweig juan wajnerman 200 contributors syntax inspired language ruby compiled language static type-checking specifying types variables method arguments generally unneeded types resolved advanced global type inference algorithm crystal active development released free open-source software apache license version 2.0,ia-32 freebsd ruby c rust go csharp python llvmir csp
77,Smalltalk,1972,pl,77,145,2022,6,32,16,5400,0,Unknown,United States,smalltalk object-oriented dynamically typed reflective programming language smalltalk created language underpin `` new world '' computing exemplified `` human¨ccomputer symbiosis '' designed created part educational use constructionist learning learning research group lrg xerox parc alan kay dan ingalls adele goldberg ted kaehler scott wallace others 1970s language first generally released smalltalk-80 smalltalk-like languages continuing active development gathered loyal communities users around ansi smalltalk ratified 1998 represents standard version smalltalk smalltalk took second place `` loved programming language '' stack overflow developer survey 2017,pharo squeak visualworks lisp simula euler imp planner logo applescript dart dylan erlang etoys falcon go groovy io ioke java lasso lisaac newtonscript object-rexx objective-c php perl-6 python ruby scala scratch self sql flavors clos prolog ascii javascript visual-smalltalk-enterprise smalltalk-mt jvm strongtalk
78,Yacc,1975,grammarLanguage,78,183,2018,4,4,1,3087,17,Unknown,United States,yacc yet another compiler-compiler computer program unix operating system look ahead left-to-right lalr parser generator generating parser part compiler tries make syntactic sense source code specifically lalr parser based analytic grammar written notation similar backus¨cnaur form bnf yacc used available default parser generator unix systems though since supplanted default recent largely compatible programs,unix b c bison ocaml ratfor ada pascal java python ruby go common-lisp
79,Git,2005,application,79,43,2022,1,0,0,714200,7032,https://github.com/git/,Various,git version control system tracking changes computer files coordinating work files among multiple people primarily used source code management software development used keep track changes set files distributed revision control system aimed speed data integrity support distributed non-linear workflows git created linus torvalds 2005 development linux kernel kernel developers contributing initial development current maintainer since 2005 junio hamano distributed version control systems unlike client¨cserver systems every git directory every computer full-fledged repository complete history full version tracking abilities independent network access central server git free software distributed terms gnu general public license version 2,c perl tcl python linux ia-32 mercurial http ftp subversion
80,Modula-3,1986,pl,80,304,2018,5,0,0,641,0,Digital Equipment Corporation && elego Software Solutions GmbH,United States and Germany,modula-3 programming language conceived successor upgraded version modula-2 known modula-2+ influential research circles influencing designs languages java c python adopted widely industry designed luca cardelli james donahue lucille glassman mick jordan olivetti software technology laboratory bill kalsow greg nelson digital equipment corporation dec systems research center src olivetti research center orc late 1980s modula-3 's main features simplicity safety preserving power systems-programming language modula-3 aimed continue pascal tradition type safety introducing new constructs practical real-world programming particular modula-3 added support generic programming similar templates multithreading exception handling garbage collection object-oriented programming partial revelation explicit mark unsafe code design goal modula-3 language implements important features modern imperative languages quite basic forms thus allegedly dangerous complicating features multiple inheritance operator overloading omitted,modula-2 pascal algol oberon java python caml csharp nim arm mesa object-pascal euclid c delphi scala obliq
81,Elm,2012,pl,81,231,2022,10,5,2,11377,127,https://github.com/elm,United States and France,elm domain-specific programming language declaratively creating web browser-based graphical user interfaces elm purely functional developed emphasis usability performance robustness advertises `` runtime exceptions practice '' made possible elm compiler 's static type checking,haskell standard-ml ocaml f-sharp vuejs javascript typescript
82,Racket,1994,pl,82,169,2022,13,4,10,7353,48,PLT Inc.,Unknown,racket general purpose multi-paradigm programming language lisp-scheme family one design goals serve platform language creation design implementation language used variety contexts scripting general-purpose programming computer science education research platform provides implementation racket language including sophisticated run-time system various libraries jit compiler along development environment called drracket formerly named drscheme written racket ide accompanying programming curriculum used programbydesign outreach program attempt turn computing programming `` indispensable part liberal arts curriculum '' core language known extensive macro system enables creation embedded domain-specific languages language constructs classes modules separate dialects racket different semantics platform distribution free open-source software distributed gnu lesser general public license lgpl license extensions packages written community uploaded racket 's centralized package catalog racket distribution continues support scheme variants new racket language launched 7 june 2010 racket launched https //racket-lang.org/new-name.html,x86-isa powerpc sparc mips arm scheme eiffel rust clojure lisp java unicode json unix linux arc
83,Groovy,2003,pl,83,174,2022,9,22,7,6056,0,https://github.com/grails,United States and Spain and France,apache groovy object-oriented programming language java platform dynamic language features similar python ruby perl smalltalk used scripting language java platform dynamically compiled java virtual machine jvm bytecode interoperates java code libraries groovy uses java-like curly-bracket syntax java code also syntactically valid groovy although semantics may different groovy 1.0 released january 2 2007 groovy 2.0 july 2012 since version 2 groovy also compiled statically offering type inference performance near java groovy 2.4 last major release pivotal software 's sponsorship ended march 2015 groovy since changed governance structure project management committee pmc apache software foundation,java python ruby perl smalltalk objective-c kotlin jvm regex xml html json android eclipse-editor emacs-editor textmate-editor visual-studio-code-editor javascript
85,D,2001,pl,85,173,2022,14,2,4,6311,0,Digital Mars,United States,programming language object-oriented imperative multi-paradigm system programming language created walter bright digital mars released 2001 bright joined design development effort 2007 andrei alexandrescu though originated re-engineering c++ distinct language redesigned core c++ features also taking inspiration languages notably java python ruby c eiffel 's design goals attempt combine performance safety compiled languages expressive power modern dynamic languages idiomatic code commonly fast equivalent c++ code shorter memory-safe type inference automatic memory management syntactic sugar common types allow faster development bounds checking design contract features concurrency-aware type system help reduce occurrence bugs,freebsd linux c csharp eiffel java python minid vala swift genie ruby assembly-language llvmir cil eclipse-editor visual-studio-editor emacs-editor vim-editor textmate-editor visual-studio-code-editor gdb utf-8
86,Common Lisp,1984,pl,86,135,2022,7,6,0,1891,24,American National Standards Institute,United States,common lisp cl dialect lisp programming language published ansi standard document ansi incits 226-1994 r2004 formerly x3.226-1994 r1999 common lisp hyperspec hyperlinked html version derived ansi common lisp standard common lisp language developed standardized improved successor maclisp early 1980s several groups already work diverse successors maclisp lisp machine lisp aka zetalisp spice lisp nil s-1 lisp common lisp sought unify standardise extend features maclisp dialects common lisp implementation rather language specification several implementations common lisp standard available including free open-source software proprietary products common lisp general-purpose multi-paradigm programming language supports combination procedural functional object-oriented programming paradigms dynamic programming language facilitates evolutionary incremental software development iterative compilation efficient run-time programs incremental development often done interactively without interrupting running application also supports optional type annotation casting added necessary later profiling optimization stages permit compiler generate efficient code instance fixnum hold unboxed integer range supported hardware implementation permitting efficient arithmetic big integers arbitrary precision types similarly compiler told per-module per-function basis type safety level wanted using optimize declarations common lisp includes clos object system supports multimethods method combinations often implemented metaobject protocol common lisp extensible standard features lisp macros code transformations reader macros input parsers characters common lisp provides backwards compatibility maclisp john mccarthy 's original lisp allows older lisp software ported common lisp,lisp clisp lispworks lisp-machine-lisp scheme interlisp clojure dylan emacs-lisp eulisp islisp julia r cadence-skill spice-lisp s-expressions ascii unicode c pascal java autolisp algol-68 ada perl unix freebsd linux solaris x86-isa corman-common-lisp maxima acl2 poplog pop-11 prolog standard-ml emacs-editor
88,UML,1996,xmlFormat,88,213,2001,1,112,38,11035,0,Unknown,Unknown,unified modeling language uml general-purpose developmental modeling language field software engineering intended provide standard way visualize design system uml originally motivated desire standardize disparate notational systems approaches software design developed grady booch ivar jacobson james rumbaugh rational software 1994¨c1995 development led 1996 1997 uml adopted standard object management group omg managed organization ever since 2005 uml also published international organization standardization iso approved iso standard since standard periodically revised cover latest revision uml,bpmn sysml
89,Sage,2005,pl,89,213,2022,5,2,2,1116,0,Unknown,Unknown,sagemath previously sage sage `` system algebra geometry experimentation '' mathematical software features covering many aspects mathematics including algebra combinatorics numerical mathematics number theory calculus first version sagemath released 24 february 2005 free open-source software terms gnu general public license version 2 initial goals creating `` open source alternative magma maple mathematica matlab '' originator leader sagemath project william stein mathematician university washington sagemath uses syntax resembling python 's supporting procedural functional object-oriented constructs,python cython linux solaris android ios ia-32 arm sparc maple mathematica matlab maxima scipy numpy r latex sql fortran c common-lisp pari-gp sqlite matplotlib
90,Maple,1982,pl,90,95,2022,3,28,15,53310,511,Cybernet Systems Co. Ltd,Canada,maple symbolic numeric computing environment also multi-paradigm programming language developed maplesoft maple also covers aspects technical computing including visualization data analysis matrix computation connectivity toolbox maplesim adds functionality multidomain physical modeling code generation,c java linux pascal csharp fortran matlab visual-basic excel-app watcom sql http javascript julia perl python r java-server-pages mathcad mupad sagemath
91,Unicode,1987,characterEncoding,91,19,2017,0,2,0,13380,0,Unknown,Unknown,"unicode computing industry standard consistent encoding representation handling text expressed world 's writing systems latest version contains repertoire 136,755 characters covering 139 modern historic scripts well multiple symbol sets unicode standard maintained conjunction iso/iec 10646 code-for-code identical unicode standard consists set code charts visual reference encoding method set standard character encodings set reference data files number related items character properties rules normalization decomposition collation rendering bidirectional display order correct display text containing right-to-left scripts arabic hebrew left-to-right scripts june 2017 recent version unicode 10.0 standard maintained unicode consortium unicode 's success unifying character sets led widespread predominant use internationalization localization computer software standard implemented many recent technologies including modern operating systems xml java programming languages .net framework unicode implemented different character encodings unicode standard defines utf-8 utf-16 utf-32 several encodings use commonly used encodings utf-8 utf-16 ucs-2 precursor utf-16 utf-8 dominantly used websites 90 uses one byte first 128 code points 4 bytes characters first 128 unicode code points ascii characters ascii text utf-8 text ucs-2 simply uses two bytes 16 bits character encode first 65,536 code points so-called basic multilingual plane bmp 1,114,112 code points 17 planes possible 120,000 code points defined far many unicode characters beyond reach ucs-2 therefore ucs-2 obsolete though still widely used software utf-16 extends ucs-2 using 16-bit encoding ucs-2 basic multilingual plane 4-byte encoding planes long contains code points reserved range u+0d800-u+0dfff ucs-2 text valid utf-16 text utf-32 also referred ucs-4 uses four bytes character like ucs-2 number bytes per character fixed facilitating character indexing unlike ucs-2 utf-32 able encode unicode code points however character uses four bytes utf-32 takes significantly space encodings widely used",xml java utf-8 isbn rfc ascii freebsd seed7 python jvm html mime
92,CoffeeScript,2009,pl,92,154,2022,10,17,0,23320,216,https://github.com/jashkenas,United States,coffeescript programming language transcompiles javascript adds syntactic sugar inspired ruby python haskell effort enhance javascript 's brevity readability specific additional features include list comprehension pattern matching coffeescript support included ruby rails version 3.1 play framework 2011 brendan eich referenced coffeescript influence thoughts future javascript,haskell javascript perl python ruby yaml livescript rails jquery maven-pom java markdown elm haxe dart opa typescript
93,VHDL,1983,hardwareDescriptionLanguage,93,252,2022,12,50,39,6245,0,Unknown,United States,vhdl vhsic hardware description language hardware description language used electronic design automation describe digital mixed-signal systems field-programmable gate arrays integrated circuits vhdl also used general purpose parallel programming language,verilog ada pascal vhdl-ams property-specification-language isbn
94,APL,1964,pl,94,146,2022,8,13,28,3670,0,Harvard University,United States,apl named book programming language programming language developed 1960s kenneth e. iverson central datatype multidimensional array uses large range special graphic symbols represent functions operators leading concise code important influence development concept modeling spreadsheets functional programming computer math packages also inspired several programming languages still used today certain applications,aplx j go k matlab nial polymorphic-programming-language q s sac-programming-language speakeasy wolfram 1620sps basic music-sp unix isbn ascii cobol java linux ruby r unicode c fortran csharp cil excel-app octave scilab lyapas rpl
95,OpenCL,2009,pl,95,189,2018,5,25,46,3731,266,Khronos Group,Unknown,open computing language opencl framework writing programs execute across heterogeneous platforms consisting central processing units cpus graphics processing units gpus digital signal processors dsps field-programmable gate arrays fpgas processors hardware accelerators opencl specifies programming languages based c99 c++11 programming devices application programming interfaces apis control platform execute programs compute devices opencl provides standard interface parallel computing using task- data-based parallelism opencl open standard maintained non-profit technology consortium khronos group conformant implementations available altera amd apple arm creative ibm imagination intel nvidia qualcomm samsung vivante xilinx ziilabs,opengl android freebsd linux ia-32 cuda c python java llvmir mathematica javascript arm x86-isa ptx metal sequencel
96,MediaWiki,2002,wikiMarkup,96,177,2022,4,2,0,7133,69,"Wikimedia Foundation, Inc",United States,"mediawiki free open-source wiki software originally developed magnus manske improved lee daniel crocker runs many websites including wikipedia wiktionary wikimedia commons written php programming language stores contents database like wordpress based similar licensing architecture become dominant software category first version software deployed serve needs wikipedia encyclopedia 2002 wikipedia wikimedia foundation projects continue define large part requirement set mediawiki software optimized efficiently handle large projects terabytes content hundreds thousands hits per second wikipedia one world 's largest websites achieving scalability multiple layers caching database replication major concern developers software 900 configuration settings 1,900 extensions available enabling various features added changed wikipedia alone 1000 automated semi-automated bots tools developed assist editing also deployed companies internal knowledge management system educators assigned students use mediawiki collaborative group projects",php linux freebsd solaris wordpress perl mysql rails javascript html python xml json latex ocaml jquery lua mariadb postgresql sqlite
97,Microsoft Azure,2010,cloud,97,28,2018,0,1,0,154044,1448,Microsoft,United States,microsoft azure formerly windows azure cloud computing service created microsoft building testing deploying managing applications services global network microsoft-managed data centers provides software service saas platform service infrastructure service supports many different programming languages tools frameworks including microsoft-specific third-party software systems azure announced october 2008 released february 1 2010 `` windows azure '' renamed `` microsoft azure '' march 25 2014,linux php python ftp mercurial json redis rest xml visual-studio-editor eclipse-editor aws google-cloud
98,YAML,2001,dataNotation,98,95,2018,5,0,1,13981,61,Unknown,Unknown,yaml yaml ai n't markup language human-readable data serialization language commonly used configuration files could used many applications data stored e.g debugging output transmitted e.g document headers yaml targets many communications applications xml taken minimal approach intentionally breaks compatibility sgml yaml 1.2 superset json another minimalist data serialization format braces brackets used instead indentation custom data types allowed yaml natively encodes scalars strings integers floats lists associative arrays also known hashes dictionaries data types based perl programming language though commonly used high-level programming languages share similar concepts yaml supports python-style indentation indicate nesting compact format uses lists hashes colon-centered syntax used express key-value pairs inspired electronic mail headers defined rfc 0822 document separator `` -- '' borrowed mime rfc 2045 escape sequences reused c whitespace wrapping multi-line strings inspired html lists hashes contain nested lists hashes forming tree structure arbitrary graphs represented using yaml aliases similar xml soap yaml intended read written streams feature inspired sax support reading writing yaml available several programming languages source code editors emacs various integrated development environments features make editing yaml easier folding nested structures automatically highlighting syntax errors,json perl python mime c html soap emacs-editor utf-8 asciidoc s-expressions
100,REST,1996,protocol,100,38,2022,0,5,8,24190,26215,"University of California, Irvine",United States,representational state transfer rest restful web services way providing interoperability computer systems internet rest-compliant web services allow requesting systems access manipulate textual representations web resources using uniform predefined set stateless operations forms web services exist expose arbitrary sets operations wsdl soap `` web resources '' first defined world wide web documents files identified urls today much generic abstract definition encompassing every thing entity identified named addressed handled way whatsoever web restful web service requests made resource 's uri elicit response may xml html json defined format response may confirm alteration made stored resource may provide hypertext links related resources collections resources using http common kind operations available include predefined http methods get post put delete using stateless protocol standard operations rest systems aim fast performance reliability ability grow re-using components managed updated without affecting system whole even running term representational state transfer introduced defined 2000 roy fielding doctoral dissertation fielding 's dissertation explained rest principles known `` http object model '' beginning 1994 used designing http 1.1 uniform resource identifiers uri standards term intended evoke image well-designed web application behaves network web resources virtual state-machine user progresses application selecting links /user/tom operations get delete state transitions resulting next resource representing next state application transferred user use,wsdl soap url xml html json http javascript
101,UTF-8,1993,characterEncoding,101,16,2009,0,0,0,13435,0,Unknown,Unknown,"utf-8 variable width character encoding capable encoding 1,112,064 valid code points unicode using one four 8-bit bytes encoding defined unicode standard originally designed ken thompson rob pike name derived unicode universal coded character set transformation format ¨c 8-bit designed backward compatibility ascii code points lower numerical values tend occur frequently encoded using fewer bytes first 128 characters unicode correspond one-to-one ascii encoded using single octet binary value ascii valid ascii text valid utf-8-encoded unicode well since ascii bytes occur encoding non-ascii code points utf-8 utf-8 safe use within programming document languages interpret certain ascii characters special way `` '' filenames `` '' escape sequences `` '' printf utf-8 dominant character encoding world wide web since 2009 november 2017 accounts 90.1 web pages next-most popular multibyte encodings shift jis gb 2312 0.8 0.6 respectively internet mail consortium imc recommended e-mail programs able display create mail using utf-8 w3c recommends utf-8 default encoding xml html",unicode ascii xml html css mysql java tcl unix
102,Microsoft Excel,1987,application,102,38,2001,1,0,0,19906,0,Microsoft,United States,microsoft excel spreadsheet developed microsoft windows macos android ios features calculation graphing tools pivot tables macro programming language called visual basic applications widely applied spreadsheet platforms especially since version 5 1993 replaced lotus 1-2-3 industry standard spreadsheets excel forms part microsoft office,android ios vba visual-basic ooxml xml csv dbase mysql c fortran python javascript
103,XQuery,2007,pl,103,179,2022,6,2,15,1351,125,W3C,Unknown,xquery xml query query functional programming language queries transforms collections structured unstructured data usually form xml text vendor-specific extensions data formats json binary etc. language developed xml query working group w3c work closely coordinated development xslt xsl working group two groups share responsibility xpath subset xquery xquery 1.0 became w3c recommendation january 23 2007 xquery 3.0 became w3c recommendation april 8 2014 xquery 3.1 became w3c recommendation march 21 2017 `` mission xml query project provide flexible query facilities extract data real virtual documents world wide web therefore finally providing needed interaction web world database world ultimately collections xml files accessed like databases '',xpath sql lisp prolog xml java csharp jsoniq json isbn
